Kode_Kab;Kabupaten;Provinsi;PE;TPAK;RASIOPUSKES;RASIOSMA;AHH;HLS;RLS;PENG
ID7314;Sidenreng Rappang;Sulawesi Selatan;5,54;58,7;,029598;,026891;70,01;12,95;7,94;12201
ID7315;Pinrang;Sulawesi Selatan;5,04;57,78;,035941;,02521;69,77;13,24;7,87;11956
ID7316;Enrekang;Sulawesi Selatan;6,36;72,64;,029598;,028571;70,93;13,71;8,91;10973
ID7317;Luwu;Sulawesi Selatan;6,03;64,22;,044397;,042017;70,44;13,39;8,35;10116
ID7318;Tana Toraja;Sulawesi Selatan;5,19;77,99;,048626;,030252;73,4;13,86;8,51;7434
ID7322;Luwu Utara;Sulawesi Selatan;3,9;63,07;,033827;,031933;68,67;12,57;7,86;11736
ID7325;Luwu Timur;Sulawesi Selatan;1,39;73,14;,042283;,031933;70,63;12,84;8,81;12886
ID7326;Toraja Utara;Sulawesi Selatan;4,05;71,56;,059197;,02521;73,41;13,39;8,25;8134
ID7371;Kota Makassar;Sulawesi Selatan;4,47;59,7;,103594;,22521;72,13;15,58;11,43;1797
ID7372;Kota Parepare;Sulawesi Selatan;4,41;66,94;,016913;,016807;71,31;14,51;10,65;13786
ID7373;Kota Palopo;Sulawesi Selatan;5,41;59,95;,02537;,021849;70,92;15,09;10,94;13117
ID7401;Buton;Sulawesi Tenggara;2,62;64,42;,048109966;,07541;68,39;13,76;7,92;7324
ID7402;Muna;Sulawesi Tenggara;3,18;66,5;,099656357;,111475;70,41;13,8;8,46;8218
ID7403;Konawe;Sulawesi Tenggara;6,51;70;,10652921;,091803;70,32;13,01;9,21;10151
ID7404;Kolaka;Sulawesi Tenggara;4,21;69,83;,048109966;,04918;71,21;12,83;8,99;12525
ID7405;Konawe Selatan;Sulawesi Tenggara;4,84;71,98;,085910653;,095082;70,87;12,37;8,11;959
ID7406;Bombana;Sulawesi Tenggara;3,5;72,77;,075601375;,081967;69,09;11,85;8,04;831
ID7407;Wakatobi;Sulawesi Tenggara;4,02;70,63;,065292096;,062295;70,48;13,51;8,16;928
ID7408;Kolaka Utara;Sulawesi Tenggara;2,66;79,76;,054982818;,02623;70,36;12,15;8,22;10244
ID7409;Buton Utara;Sulawesi Tenggara;4,08;75,63;,034364261;,036066;70,93;12,92;8,93;7496
ID7410;Konawe Utara;Sulawesi Tenggara;4,59;70,6;,075601375;,036066;69,53;13,08;9,3;9181
ID7411;Kolaka Timur;Sulawesi Tenggara;4,83;74,79;,041237113;,045902;72,82;12,69;7,84;7753
ID7412;Konawe Kepulauan;Sulawesi Tenggara;2,3;70,76;,030927835;,019672;68,43;12,32;9,42;6738
ID7413;Muna Barat;Sulawesi Tenggara;4,09;71,96;,051546392;,039344;70,35;12,51;7,3;7502
ID7414;Buton Tengah;Sulawesi Tenggara;3,12;63,93;,04467354;,059016;67,69;13,12;7,31;7244
ID7415;Buton Selatan;Sulawesi Tenggara;2,29;73,4;,030927835;,04918;67,69;13,24;7,54;7279
ID7471;Kota Kendari;Sulawesi Tenggara;3,86;65,34;,051546392;,081967;73,83;16,89;12,51;14356
ID7472;Kota Baubau;Sulawesi Tenggara;4,15;68,95;,054982818;,039344;71,25;15,17;10,91;10503
ID7501;Boalemo;Gorontalo;2,03;3,57;,11828;,173913;69,3;12,45;7;8940
ID7502;Gorontalo;Gorontalo;2,42;2,12;,225806;,289855;67,69;13,18;7,3;9412
ID7503;Pohuwato;Gorontalo;2,2;2,45;,172043;,115942;64,3;12,38;7,26;10409
ID7504;Bone Bolango;Gorontalo;2,18;3,45;,215054;,130435;68,52;13,65;8,32;10198
ID7505;Gorontalo Utara;Gorontalo;2,2;2,3;,16129;,15942;65,93;12,46;7,15;964
ID7571;Kota Gorontalo;Gorontalo;2,81;4,55;,107527;,130435;72,53;14,5;10,37;12390
ID7601;Majene;Sulawesi Barat;2,16;2,85;,11;,079545;61,77;13,62;8,91;1028
ID7602;Polewali Mandar;Sulawesi Barat;1,86;3,38;,22;,193182;62,53;13,38;7,44;8548
